,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-05,,20.252012252807617,40.97418212890625,10.059798240661621,38.5336799621582,,,23.704999923706055,59.877342224121094,15.886666297912598,48.545326232910156,,,23.989999771118164,60.68671798706055,16.376665115356445,49.41952896118164,,,23.40999984741211,58.203125,15.822221755981445,48.2900276184082,,,23.40999984741211,58.203125,16.333332061767578,49.35763931274414,,,1567030,57384832,24682860.0,28266250.0,
2002-03-06,,20.089691162109375,41.93328094482422,10.013364791870117,37.78449249267578,,,23.514999389648438,61.278907775878906,15.813332557678223,47.601497650146484,,,24.100000381469727,61.7578125,16.133333206176758,49.74445343017578,,,23.405000686645508,59.140625,15.778887748718262,47.40808868408203,,,23.600000381469727,60.17578125,15.944443702697754,47.6556510925293,,,442400,46348032,13028985.0,21536483.0,
2002-03-07,,20.217838287353516,44.11929702758789,10.173076629638672,38.23276901245117,,,23.665000915527344,64.47343444824219,16.065555572509766,48.1662483215332,,,24.0,65.15547180175781,16.26444435119629,48.336448669433594,,,23.530000686645508,61.71875,15.912221908569336,47.446773529052734,,,23.56999969482422,61.87656021118164,15.933333396911621,47.96510314941406,,,659580,67763264,12317220.0,14161885.0,
2002-03-08,,20.029882431030273,45.23343276977539,10.033767700195312,37.69852066040039,,,23.44499969482422,66.1015625,15.845555305480957,47.49319076538086,,,23.850000381469727,66.46875,16.19333267211914,48.661373138427734,,,23.1299991607666,63.40625,15.777776718139648,47.29204559326172,,,23.735000610351562,65.3125,16.188888549804688,48.25908279418945,,,1024270,67260352,6293205.0,11788104.0,
2002-03-11,,19.884645462036133,45.30775451660156,10.071759223937988,36.654571533203125,,,23.274999618530273,66.21015930175781,15.90555477142334,46.178016662597656,,,23.690000534057617,67.109375,16.0,47.8800048828125,,,23.15999984741211,64.515625,15.755555152893066,45.961402893066406,,,23.309999465942383,66.015625,15.873332977294922,47.8800048828125,,,261140,66345920,10752300.0,25713695.0,
2002-03-12,,19.713781356811523,44.798805236816406,10.12874984741211,35.89310836791992,,,23.075000762939453,65.4664077758789,15.99555492401123,45.21871566772461,,,23.299999237060547,66.4749984741211,16.333332061767578,46.33274459838867,,,22.90999984741211,64.609375,15.89222240447998,45.1026725769043,,,22.90999984741211,65.625,15.933333396911621,46.247642517089844,,,768300,55556480,20797020.0,16888354.0,
2002-03-13,,20.055519104003906,43.36442947387695,10.125231742858887,36.06505584716797,,,23.475000381469727,63.37031173706055,15.989999771118164,45.435333251953125,,,23.5,65.0757827758789,16.155555725097656,46.20122528076172,,,22.920000076293945,63.046875,15.888888359069824,45.18003463745117,,,22.924999237060547,64.6859359741211,15.977776527404785,45.33475875854492,,,866550,42688128,8401950.0,17901215.0,
2002-03-14,,20.064056396484375,43.1949577331543,10.083723068237305,36.53790283203125,,,23.485000610351562,63.122657775878906,15.924444198608398,46.031028747558594,,,23.594999313354492,64.046875,16.128887176513672,46.17028045654297,,,23.225000381469727,62.5,15.8644437789917,45.53590393066406,,,23.59000015258789,62.5,16.02666664123535,45.961402893066406,,,406950,36547648,6492645.0,10222344.0,
2002-03-15,,20.072601318359375,42.71434783935547,10.004920959472656,37.833614349365234,,,23.4950008392334,62.420310974121094,15.800000190734863,47.663387298583984,,,23.600000381469727,63.953125,16.044443130493164,47.8800048828125,,,23.354999542236328,61.90625,15.777776718139648,46.147071838378906,,,23.4950008392334,63.125,16.0,46.147071838378906,,,335430,52188032,7168320.0,27211496.0,
2002-03-18,,20.444238662719727,42.68973922729492,9.966221809387207,37.667808532714844,,,23.93000030517578,62.384376525878906,15.738887786865234,47.45450973510742,,,24.0,63.71406173706055,16.03333282470703,48.398338317871094,,,23.209999084472656,61.90625,15.69333267211914,47.206947326660156,,,23.799999237060547,63.71406173706055,15.977776527404785,48.07341384887695,,,426940,29203072,6099480.0,13312475.0,
